texto,riesgo
"Listo el script para vulnerar paneles de AWS",2
"Hoy llueve mucho en CDMX",0
"Se filtró la base de datos de un banco",1
"Detecté intento de phishing en correos corporativos",2
"Reunión interna programada para mañana",0
Hoy llueve mucho en CDMX	0
Reunión interna programada para mañana	0
Mensaje de felicitación enviado a todos los empleados	0
Se detectó correo sospechoso sin archivos adjuntos	1
Intento de acceso a sistema sin credenciales correctas	1
Empleado reporta que su cuenta fue bloqueada por error	1
Se filtró la base de datos de clientes con información financiera	2
Listo el script para vulnerar paneles de AWS y extraer datos	2
Se detectó ransomware propagándose en la red corporativa	2
Intento de acceso no autorizado al servidor principal	2
